"","거래일자","종목명","종가"
"479",20210104,"디티앤씨",7400
"480",20210104,"디피씨보통주",8680
"481",20210104,"디피코",4400
"482",20210104,"딜리",1550
"483",20210104,"라닉스",11000
"484",20210104,"라온시큐어",3570
"485",20210104,"라온테크",13800
"486",20210104,"라온피플",23350
"487",20210104,"라이브파이낸셜",1950
"488",20210125,"라이브플렉스",5300
"489",20210104,"라이온켐텍",7580
"490",20210104,"라이프사이언스테크놀로지",3200
"491",20210104,"라파스",24700
"492",20210104,"락앤락보통주",10100
"493",20210104,"래몽래인",22000
"494",20210104,"램테크놀러지",6890
"495",20210104,"랩지노믹스",18350
"496",20210104,"러셀",2960
"497",20210104,"럭스피아",1645
"498",20210104,"레고켐바이오사이언스",72200
"499",20210104,"레드캡투어",19300
"500",20210104,"레몬",10950
"501",20210104,"레이",52900
"502",20210104,"레이언스",11100
"503",20210104,"레이크머티리얼즈",2795
"504",20210310,"렌딩머신",3200
"505",20210104,"로보로보",4710
"506",20210104,"로보스타",20050
"507",20210226,"로보쓰리",1020
"508",20210104,"로보티즈",14250
"509",20210104,"로지시스",4640
"510",20210104,"로체시스템즈",6450
"511",20210104,"롯데관광개발 보통주",15150
"512",20210104,"롯데리츠보통주",5400
"513",20210104,"롯데손해보험보통주",1765
"514",20210104,"롯데쇼핑 보통주",101500
"515",20210104,"롯데정밀화학보통주",55100
"516",20210104,"롯데정보통신보통주",41500
"517",20210104,"롯데제과보통주",105500
"518",20210104,"롯데지주보통주",35100
"519",20210104,"롯데칠성음료보통주",107000
"520",20210104,"롯데케미칼보통주",279500
"521",20210104,"롯데푸드보통주",325500
"522",20210104,"롯데하이마트보통주",30700
"523",20210104,"루멘스",3115
"524",20210104,"루켄테크놀러지스",7100
"525",20210104,"루트락",4210
"526",20210104,"루트로닉",9690
"527",20210104,"룽투코리아",4710
"528",20210104,"리노공업",135300
"529",20210104,"리노스",1200
"530",20210304,"리더스 기술투자",1120
"531",20210104,"리더스코스메틱",3710
"532",20210104,"리드코프",6820
"533",20210104,"리메드",32600
"534",20210104,"린드먼아시아인베스트먼트",5300
"535",20210104,"링네트",7250
"536",20210104,"링크제니시스",7800
"537",20210104,"마니커에프앤지",8260
"538",20210104,"마이크로디지탈",17800
"539",20210104,"마이크로프랜드",7100
"540",20210104,"마크로밀엠브레인",7830
"541",20210104,"마크로젠",27100
"542",20210104,"만도보통주",62700
"543",20210104,"만호제강보통주",17850
"544",20210104,"매일유업",69500
"545",20210104,"매일홀딩스",8340
"546",20210104,"매커스",5060
"547",20210104,"맥스로텍",1540
"548",20210104,"맥쿼리한국인프라투융자회사 보통주",10650
